0;1;0.5;0;0;0;0
0.02;1.01000004;0.517992;0.500001999999999;0.8996;0;0
0.04;1.02000032;0.535968;0.500014000000004;0.8988;0.000600000000239298;-0.04000000000004
0.06;1.03000108;0.553928;0.500037999999992;0.897999999999999;0.00119999999937392;-0.0400000000000345
0.08;1.04000256;0.571872;0.500074000000006;0.897200000000003;0.00180000000070679;-0.0399999999997791
0.1;1.050005;0.5898;0.500122000000003;0.896399999999997;0.00239999999984697;-0.0400000000003176
0.12;1.06000864;0.607712;0.500181999999994;0.895600000000002;0.00299999999954781;-0.0399999999997292
0.14;1.07001372;0.625608;0.500254;0.8948;0.00360000000029226;-0.040000000000101
0.16;1.08002048;0.643488;0.500338;0.893999999999995;0.00420000000004306;-0.0400000000002565
0.18;1.09002916;0.661352;0.500434000000005;0.893200000000006;0.00480000000024905;-0.0399999999994849
0.2;1.10004;0.6792;0.500541999999992;0.892399999999998;0.00539999999934481;-0.0400000000003786
0.22;1.11005324;0.697032;0.500662000000007;0.891599999999998;0.00600000000076095;-0.039999999999979
0.24;1.12006912;0.714848;0.500793999999994;0.890800000000003;0.00659999999930161;-0.0399999999997625
0.26;1.13008788;0.732648;0.500938000000006;0.889999999999996;0.00720000000061782;-0.0400000000003786
0.28;1.14010976;0.750432;0.501094000000001;0.8892;0.0077999999997802;-0.0399999999997624
0.3;1.150135;0.7682;0.501261999999992;0.888400000000002;0.00839999999953657;-0.039999999999918
0.32;1.16016384;0.785952;0.501442000000007;0.887599999999999;0.00900000000074174;-0.0400000000001621
0.34;1.17019652;0.803688;0.501633999999995;0.886799999999998;0.00959999999938787;-0.04000000000004
0.36;1.18023328;0.821408;0.501838;0.886000000000005;0.0102000000002545;-0.0399999999996404
0.38;1.19027436;0.839112;0.502054000000007;0.885199999999996;0.0108000000003494;-0.0400000000004396
0.4;1.20032;0.8568;0.502281999999998;0.884400000000001;0.0113999999995506;-0.0399999999997624
0.42;1.21037044;0.874472;0.502521999999995;0.883600000000003;0.0119999999998621;-0.039999999999918
0.44;1.22042592;0.892128;0.502774000000005;0.882799999999999;0.0126000000005122;-0.0400000000001621
0.46;1.23048668;0.909768;0.503038;0.881999999999999;0.0131999999997134;-0.04000000000004
0.48;1.24055296;0.927392;0.503314;0.8812;0.0138000000000249;-0.039999999999918
0.5;1.250625;0.945;0.503602000000003;0.880399999999997;0.0144000000001199;-0.0400000000001621
0.52;1.26070304;0.962592;0.503902;0.879600000000002;0.0149999999998762;-0.0399999999997624
0.54;1.27078732;0.980168;0.504213999999991;0.878800000000001;0.0155999999995604;-0.04000000000004
0.56;1.28087808;0.997728;0.504537999999998;0.877999999999995;0.0162000000003548;-0.0400000000003175
0.58;1.29097556;1.015272;0.504874000000002;0.877200000000004;0.0168000000001779;-0.0399999999995184
0.6;1.30108;1.0328;0.505222000000005;0.876399999999999;0.0174000000001395;-0.0400000000002842
0.62;1.31119164;1.050312;0.505582000000004;0.875599999999998;0.0179999999999625;-0.04000000000004
0.64;1.32131072;1.067808;0.505953999999997;0.874800000000008;0.0185999999996467;-0.0399999999994849
0.66;1.33143748;1.085288;0.506337999999995;0.873999999999996;0.019199999999886;-0.0400000000005951
0.68;1.34157216;1.102752;0.506733999999997;0.873199999999995;0.0198000000001253;-0.04000000000004
0.7;1.351715;1.1202;0.507142000000007;0.872400000000011;0.0204000000005034;-0.0399999999992408
0.72;1.36186624;1.137632;0.507561999999994;0.871599999999994;0.0209999999993549;-0.0400000000008393
0.74;1.37202612;1.155048;0.507994;0.870800000000004;0.021600000000288;-0.0399999999994849
0.76;1.38219488;1.172448;0.508438;0.869999999999992;0.0221999999999722;-0.0400000000005951
0.78;1.39237276;1.189832;0.508894000000004;0.869200000000003;0.0228000000002115;-0.0399999999994849
0.8;1.40256;1.2072;0.509362000000002;0.868400000000002;0.0233999999998957;-0.04000000000004
0.82;1.41275684;1.224552;0.509841999999996;0.867600000000006;0.0239999999997188;-0.0399999999998015
0.84;1.42296352;1.241888;0.510334000000001;0.8668;0.0246000000002355;-0.0400000000002787
0.86;1.43318028;1.259208;0.510838000000002;0.865999999999999;0.0252000000000585;-0.04000000000004
0.88;1.44340736;1.276512;0.511353999999997;0.865199999999999;0.0257999999997427;-0.04000000000004
0.9;1.453645;1.2938;0.511882000000007;0.864399999999998;0.0264000000005371;-0.04000000000004
0.92;1.46389344;1.311072;0.512422000000001;0.863599999999997;0.0269999999996662;-0.04000000000004
0.94;1.47415292;1.328328;0.512974000000002;0.862800000000001;0.0276000000000499;-0.0399999999998015
0.96;1.48442368;1.345568;0.513537999999991;0.862000000000006;0.0281999999994453;-0.0399999999997236
0.98;1.49470596;1.362792;0.514113999999998;0.861199999999995;0.028800000000384;-0.0400000000005951
1;1.505;1.38;0.514702;0.860399999999994;0.0294000000000682;-0.04000000000004
1.02;1.51530604;1.397192;0.515302000000006;0.859600000000004;0.0300000000003075;-0.0399999999994849
1.04;1.52562432;1.414368;0.515913999999995;0.858800000000003;0.0305999999994366;-0.04000000000004
1.06;1.53595508;1.431528;0.516537999999999;0.857999999999991;0.031200000000231;-0.0400000000005951
1.08;1.54629856;1.448672;0.517174000000009;0.857200000000002;0.0318000000004703;-0.0399999999994849
1.1;1.556655;1.4658;0.51782199999999;0.856400000000001;0.0323999999990443;-0.04000000000004
1.12;1.56702464;1.482912;0.518482000000009;0.8556;0.0330000000009489;-0.04000000000004
1.14;1.57740772;1.500008;0.519154000000005;0.854800000000009;0.0335999999998119;-0.039999999999563
